#x-axis, nbins, first bin low edge, last bin high edge
3200, 0.0025, 16.0025
# bin number, value
1189, 0.350585
1190, 0.326404
1191, 0.30031
1192, 0.313745
1193, 0.339218
1194, 0.359305
1195, 0.312742
1196, 0.307481
1197, 0.304325
1198, 0.25824
1199, 0.292113
1200, 0.296306
1201, 0.283226
1202, 0.293907
1203, 0.294032
1204, 0.257963
1205, 0.271771
1206, 0.307676
1207, 0.2554
1208, 0.281089
1209, 0.287948
1210, 0.234131
1211, 0.250879
1212, 0.288201
1213, 0.253996
1214, 0.250678
1215, 0.23165
1216, 0.263414
1217, 0.285066
1218, 0.277858
1219, 0.232349
1220, 0.246693
1221, 0.278342
1222, 0.281326
1223, 0.274386
1224, 0.222019
1225, 0.272798
1226, 0.270816
1227, 0.278381
1228, 0.260708
1229, 0.262327
1230, 0.27066
1231, 0.277895
1232, 0.257995
1233, 0.263299
1234, 0.268743
1235, 0.268995
1236, 0.242883
1237, 0.262536
1238, 0.245111
1239, 0.226495
1240, 0.224246
1241, 0.244594
1242, 0.253393
1243, 0.280793
1244, 0.254761
1245, 0.249838
1246, 0.247155
1247, 0.219189
1248, 0.240606
1249, 0.227753
1250, 0.234116
1251, 0.238721
1252, 0.239752
1253, 0.249649
1254, 0.251004
1255, 0.259135
1256, 0.23569
1257, 0.229843
1258, 0.216469
1259, 0.209543
1260, 0.23462
1261, 0.246914
1262, 0.247002
1263, 0.255654
1264, 0.263174
1265, 0.24199
1266, 0.23882
1267, 0.257404
1268, 0.248668
1269, 0.243969
1270, 0.246022
1271, 0.221054
1272, 0.256168
1273, 0.229288
1274, 0.273478
1275, 0.26576
1276, 0.247506
1277, 0.250306
1278, 0.258878
1279, 0.26669
1280, 0.270807
1281, 0.228709
1282, 0.193246
1283, 0.234487
1284, 0.282494
1285, 0.233552
1286, 0.2594
1287, 0.263272
1288, 0.236427
1289, 0.235072
1290, 0.244149
1291, 0.248639
1292, 0.268552
1293, 0.249763
1294, 0.243665
1295, 0.246144
1296, 0.221743
1297, 0.236126
1298, 0.229559
1299, 0.273195
1300, 0.252118
1301, 0.217452
1302, 0.240701
1303, 0.225372
1304, 0.196632
1305, 0.276868
1306, 0.23516
1307, 0.221416
1308, 0.222553
1309, 0.200401
1310, 0.211999
1311, 0.266559
1312, 0.230027
1313, 0.219829
1314, 0.225255
1315, 0.2133
1316, 0.239289
1317, 0.244935
1318, 0.229463
1319, 0.20986
1320, 0.199453
1321, 0.199093
1322, 0.212894
1323, 0.207293
1324, 0.206709
1325, 0.222714
1326, 0.262664
1327, 0.22584
1328, 0.206865
1329, 0.204387
1330, 0.208849
1331, 0.18282
1332, 0.220351
1333, 0.206653
1334, 0.209915
1335, 0.223162
1336, 0.192748
1337, 0.192089
1338, 0.206691
1339, 0.237281
1340, 0.230116
1341, 0.212286
1342, 0.211747
1343, 0.251333
1344, 0.233153
1345, 0.222875
1346, 0.21039
1347, 0.206618
1348, 0.16797
1349, 0.171644
1350, 0.204957
1351, 0.217238
1352, 0.226647
1353, 0.210319
1354, 0.201869
1355, 0.185108
1356, 0.216935
1357, 0.193708
1358, 0.213595
1359, 0.177683
1360, 0.213014
1361, 0.207593
1362, 0.207121
1363, 0.181935
1364, 0.183825
1365, 0.1702
1366, 0.206378
1367, 0.215271
1368, 0.210639
1369, 0.208197
1370, 0.201238
1371, 0.206595
1372, 0.21311
1373, 0.147568
1374, 0.181508
1375, 0.195932
1376, 0.20408
1377, 0.211099
1378, 0.159367
1379, 0.180941
1380, 0.193429
1381, 0.179332
1382, 0.180768
1383, 0.177388
1384, 0.164366
1385, 0.185512
1386, 0.191466
1387, 0.193972
1388, 0.187486
1389, 0.160708
1390, 0.167914
1391, 0.172958
1392, 0.158733
1393, 0.155817
1394, 0.176679
1395, 0.213985
1396, 0.199091
1397, 0.155751
1398, 0.189454
1399, 0.189513
1400, 0.168015
1401, 0.201306
1402, 0.192053
1403, 0.177441
1404, 0.200377
1405, 0.196055
1406, 0.185822
1407, 0.190281
1408, 0.182052
1409, 0.196309
1410, 0.206475
1411, 0.19468
1412, 0.206062
1413, 0.194601
1414, 0.192021
1415, 0.210122
1416, 0.178434
1417, 0.189763
1418, 0.184386
1419, 0.200481
1420, 0.199323
1421, 0.214047
1422, 0.186756
1423, 0.192955
1424, 0.192226
1425, 0.196172
1426, 0.197857
1427, 0.192588
1428, 0.214439
1429, 0.190399
1430, 0.174374
1431, 0.173799
1432, 0.186167
1433, 0.18619
1434, 0.166061
1435, 0.187552
1436, 0.202589
1437, 0.18781
1438, 0.16752
1439, 0.174494
1440, 0.187318
1441, 0.200368
1442, 0.151537
1443, 0.184247
1444, 0.164206
1445, 0.151993
1446, 0.151869
1447, 0.172439
1448, 0.144081
1449, 0.115978
1450, 0.143601
1451, 0.126802
1452, 0.127847
1453, 0.153717
1454, 0.144244
1455, 0.144293
1456, 0.122652
1457, 0.116566
1458, 0.109558
1459, 0.119322
1460, 0.129803
1461, 0.146023
1462, 0.138152
1463, 0.136411
1464, 0.120314
1465, 0.130494
1466, 0.115201
1467, 0.0929123
1468, 0.0848529
1469, 0.0996194
1470, 0.109063
1471, 0.107704
1472, 0.110746
1473, 0.110664
1474, 0.110432
1475, 0.112968
1476, 0.107775
1477, 0.0818694
1478, 0.0913545
1479, 0.090695
1480, 0.0951629
1481, 0.0674571
1482, 0.110914
1483, 0.091079
1484, 0.0778523
1485, 0.0617749
1486, 0.075532
1487, 0.0803946
1488, 0.0907932
1489, 0.0954359
1490, 0.0844521
1491, 0.0761979
1492, 0.0701116
1493, 0.0724327
1494, 0.088636
1495, 0.0903016
1496, 0.0790773
1497, 0.0688716
1498, 0.0751391
1499, 0.0641646
1500, 0.0945211
1501, 0.0962311
1502, 0.0841158
1503, 0.095043
1504, 0.0932801
1505, 0.106708
1506, 0.101526
1507, 0.110533
1508, 0.115866
1509, 0.112743
1510, 0.0914813
1511, 0.120168
1512, 0.118827
1513, 0.116575
1514, 0.127749
1515, 0.110279
1516, 0.139499
1517, 0.13191
1518, 0.140157
1519, 0.110324
1520, 0.115933
1521, 0.116171
1522, 0.117756
1523, 0.11931
1524, 0.119717
1525, 0.116085
1526, 0.102207
1527, 0.10668
1528, 0.147028
1529, 0.127756
1530, 0.120832
1531, 0.12895
1532, 0.108837
1533, 0.103682
1534, 0.0956737
1535, 0.116223
1536, 0.0904643
1537, 0.0904832
1538, 0.0913962
1539, 0.09482
1540, 0.0770814
1541, 0.104994
1542, 0.0903841
1543, 0.0784484
1544, 0.0975279
1545, 0.0895965
1546, 0.101546
1547, 0.0744499
1548, 0.0665179
1549, 0.0729949
1550, 0.0574702
1551, 0.0726189
1552, 0.0694912
1553, 0.0511415
1554, 0.0517786
1555, 0.0395485
1556, 0.0429058
1557, 0.0427734
1558, 0.0302619
1559, 0.0411363
1560, 0.0469661
1561, 0.0435065
1562, 0.0291239
1563, 0.0436666
1564, 0.0386848
1565, 0.0347481
1566, 0.0339801
1567, 0.0292397
1568, 0.0313839
1569, 0.0322055
1570, 0.0298003
1571, 0.0182179
1572, 0.017651
1573, 0.0280238
1574, 0.0239709
1575, 0.031316
1576, 0.0211855
1577, 0.0249119
1578, 0.0273282
1579, 0.0274936
1580, 0.0248574
1581, 0.0282513
1582, 0.0259575
1583, 0.0208632
1584, 0.022939
1585, 0.0209472
1586, 0.0172695
1587, 0.0132218
1588, 0.0201506
1589, 0.01525
1590, 0.0153121
1591, 0.02135
1592, 0.0277512
1593, 0.0267519
1594, 0.0205668
1595, 0.0153864
1596, 0.0322054
1597, 0.0145259
1598, 0.0153022
1599, 0.0275137
1600, 0.026115
1601, 0.0180275
1602, 0.0271
1603, 0.0176169
1604, 0.0220855
1605, 0.0244514
1606, 0.0192622
1607, 0.0158575
1608, 0.0164046
1609, 0.0206612
1610, 0.0143351
1611, 0.0209226
1612, 0.0207654
1613, 0.0266371
1614, 0.01352
1615, 0.01754
1616, 0.0202633
1617, 0.0279512
1618, 0.0248622
1619, 0.0172579
1620, 0.0211589
1621, 0.0120086
1622, 0.0193342
1623, 0.0164175
1624, 0.020449
1625, 0.0182143
1626, 0.014616
1627, 0.0124862
1628, 0.0160824
1629, 0.0136328
1630, 0.0110522
